file,label,MDM/Profile,Logs/System,Comm/Energy,Apps/Finance/SNS,Journal/Shortcuts/Cal,External/UIJack,Vendors,Vuln/Chip/FW,Flame,Exclude
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,72222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,75555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,78888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,82222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,85555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,88888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,92222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,95555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,98888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,102222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,105555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,108888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,112222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,115555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,118888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,122222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,125555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,128888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,132222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,135555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,138888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,142222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,145555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,148888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,152222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,155555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,158888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,162222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,165555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,168888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,172222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,175555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,178888,0,0,0,0,0,0,0,0,1,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,182222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,185555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,188888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,192222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/Text-06- bug-type-288-2025-0604-221905.extracted.txt,195555,0,0,0,0,0,0,0,0,0,0
